,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
,,,,,,,,,,,,,?,,,,,,,,,,,
197,Paul Nebel,de GER,MF,Mainz 05,23-152,2002,21,15,"1,326",14.7,1,1,2,1,0,0,2,2,0.07,0.07,0.14,0.07,0.14,Matches
198,Luca Netz,de GER,"MF,DF",Gladbach,22-300,2003,15,10,940,10.4,0,2,2,0,0,0,1,0,0,0.19,0.19,0,0.19,Matches
199,Marvin Pieringer,de GER,FW,Heidenheim,26-158,1999,19,13,"1,068",11.9,2,0,2,2,0,0,2,0,0.17,0,0.17,0.17,0.17,Matches
200,Leopold Querfeld,at AUT,DF,Union Berlin,22-081,2003,25,25,"2,250",25,2,0,2,0,2,3,6,0,0.08,0,0.08,0,0,Matches
201,Rocco Reitz,de GER,MF,Gladbach,23-286,2002,24,24,"2,019",22.4,0,2,2,0,0,0,6,1,0,0.09,0.09,0,0.09,Matches
202,Elvis Rexhbeçaj,xk KVX,MF,Augsburg,28-130,1997,22,9,999,11.1,2,0,2,2,0,0,4,0,0.18,0,0.18,0.18,0.18,Matches
203,Rodrigo Ribeiro,pt POR,FW,Augsburg,20-317,2005,5,3,297,3.3,2,0,2,2,0,0,1,0,0.61,0,0.61,0.61,0.61,Matches
204,Kaishu Sano,jp JPN,MF,Mainz 05,25-071,2000,25,25,"2,249",25,1,1,2,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08,Matches
205,Jan Schöppner,de GER,MF,Heidenheim,26-272,1999,23,21,"1,580",17.6,1,1,2,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,Matches
206,Nicolas Seiwald,at AUT,MF,RB Leipzig,24-311,2001,25,24,"2,119",23.5,0,2,2,0,0,0,1,0,0,0.08,0.08,0,0.08,Matches
207,Armindo Sieb,de GER,FW,Mainz 05,23-022,2003,16,3,441,4.9,2,0,2,2,0,0,1,0,0.41,0,0.41,0.41,0.41,Matches
208,Nathan Tella,ng NGA,MF,Leverkusen,26-249,1999,10,5,446,5,0,2,2,0,0,0,2,0,0,0.4,0.4,0,0.4,Matches
209,Phillip Tietz,de GER,FW,Mainz 05,28-245,1997,10,10,865,9.6,1,1,2,1,0,1,1,0,0.1,0.1,0.21,0.1,0.21,Matches
210,Keke Topp,de GER,FW,Werder Bremen,21-351,2004,19,6,593,6.6,1,1,2,1,0,0,4,0,0.15,0.15,0.3,0.15,0.3,Matches
211,Omar Traoré,de GER,"DF,MF",Heidenheim,28-035,1998,23,15,"1,374",15.3,0,2,2,0,0,0,2,0,0,0.13,0.13,0,0.13,Matches
212,Christopher Trimmel,at AUT,"MF,DF",Union Berlin,39-015,1987,22,16,"1,385",15.4,0,2,2,0,0,0,7,0,0,0.13,0.13,0,0.13,Matches
213,Dayot Upamecano,fr FRA,DF,Bayern Munich,27-135,1998,20,18,"1,509",16.8,1,1,2,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,Matches
214,Hauke Wahl,de GER,DF,St Pauli,31-330,1994,21,21,"1,845",20.5,2,0,2,2,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
215,Silvan Widmer,ch SUI,MF,Mainz 05,33-006,1993,19,16,"1,329",14.8,2,0,2,2,0,0,5,0,0.14,0,0.14,0.14,0.14,Matches
216,Aaron Zehnter,de GER,DF,Wolfsburg,21-131,2004,17,14,"1,213",13.5,2,0,2,2,0,0,0,0,0.15,0,,,,
