,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
,,,,,,,,,,,,,?,,,,,,,,,,,
106,Benedict Hollerbach,de GER,"FW,MF",Mainz 05,24-298,2001,14,13,872,9.7,1,3,4,1,0,0,0,0,0.1,0.31,0.41,0.1,0.41,Matches
107,Andreas Hountondji,bj BEN,"FW,MF",St Pauli,23-243,2002,12,9,610,6.8,4,0,4,4,0,1,1,0,0.59,0,0.59,0.59,0.59,Matches
108,Nicolas Jackson,sn SEN,FW,Bayern Munich,24-264,2001,16,6,539,6,4,0,4,4,0,0,1,0,0.67,0,0.67,0.67,0.67,Matches
109,Ozan Kabak,tr TUR,DF,Hoffenheim,25-351,2000,16,9,941,10.5,4,0,4,4,0,0,2,0,0.38,0,0.38,0.38,0.38,Matches
110,Arnaud Kalimuendo,fr FRA,"FW,MF",Eintracht Frankfurt,24-050,2002,10,8,678,7.5,3,1,4,3,0,0,3,0,0.4,0.13,0.53,0.4,0.53,Matches
111,Miro Muheim,ch SUI,"MF,DF",Hamburger SV,27-352,1998,24,23,"2,090",23.2,0,4,4,0,0,0,5,0,0,0.17,0.17,0,0.17,Matches
112,Justin Njinmah,de GER,"FW,MF",Werder Bremen,25-116,2000,24,16,"1,314",14.6,4,0,4,4,0,0,1,0,0.27,0,0.27,0.27,0.27,Matches
113,Antonio Nusa,no NOR,"FW,MF",RB Leipzig,20-328,2005,22,18,"1,527",17,2,2,4,2,0,0,0,0,0.12,0.12,0.24,0.12,0.24,Matches
114,Aleksandar Pavlovic,de GER,MF,Bayern Munich,21-312,2004,20,13,"1,277",14.2,3,1,4,3,0,0,2,0,0.21,0.07,0.28,0.21,0.28,Matches
115,Manolis Saliakas,gr GRE,MF,St Pauli,29-180,1996,15,11,"1,018",11.3,1,3,4,1,0,0,3,0,0.09,0.27,0.35,0.09,0.35,Matches
116,Albert Sambi Lokonga,be BEL,MF,Hamburger SV,26-140,1999,19,14,"1,177",13.1,4,0,4,4,0,0,2,0,0.31,0,0.31,0.31,0.31,Matches
117,Eric Smith,se SWE,"DF,MF",St Pauli,29-062,1997,22,22,"1,934",21.5,2,2,4,2,0,0,3,1,0.09,0.09,0.19,0.09,0.19,Matches
118,Yukinari Sugawara,jp JPN,"DF,MF",Werder Bremen,25-256,2000,23,22,"1,933",21.5,0,4,4,0,0,0,1,0,0,0.19,0.19,0,0.19,Matches
119,Mattias Svanberg,se SWE,MF,Wolfsburg,27-065,1999,20,7,743,8.3,3,1,4,3,0,0,5,1,0.36,0.12,0.48,0.36,0.48,Matches
120,Daniel Svensson,se SWE,MF,Dortmund,24-027,2002,25,21,"1,968",21.9,2,2,4,2,0,0,0,0,0.09,0.09,0.18,0.09,0.18,Matches
121,Jan Thielmann,de GER,"MF,FW",Köln,23-289,2002,19,17,"1,271",14.1,3,1,4,3,0,0,3,0,0.21,0.07,0.28,0.21,0.28,Matches
122,Josha Vagnoman,de GER,"DF,MF",Stuttgart,25-090,2000,21,16,"1,408",15.6,1,3,4,1,0,0,3,0,0.06,0.19,0.26,0.06,0.26,Matches
123,Ayoube Amaimouni Echghouyab,ma MAR,MF,Eintracht Frankfurt,21-101,2004,9,2,231,2.6,2,1,3,2,0,0,1,0,0.78,0.39,1.17,0.78,1.17,Matches
124,Stefan Bell,de GER,DF,Mainz 05,34-199,1991,18,13,"1,039",11.5,2,1,3,2,0,0,4,0,0.17,0.09,0.26,0.17,0.26,Matches
125,Jan-Niklas Beste,de GER,MF,Freiburg,27-066,1999,19,15,"1,287",14.3,1,2,3,1,0,0,5,0,0.07,0.14,0.21,0.07,0.21,Matches
126,Tom Bischof,de GER,"DF,MF",Bayern Munich,20-256,2005,20,10,910,10.1,0,3,3,0,0,0,2,0,0,0.3,0.3,0,0.3,Matches
127,Emre Can,de GER,DF,Dortmund,32-058,1994,9,7,621,6.9,3,0,3,0,3,3,3,0,0.43,0,0.43,0,0,Matches
128,Alessio Castro-Montes,be BEL,"MF,DF",Köln,28-298,1997,8,5,429,4.8,0,3,3,0,0,0,2,0,0,0.63,0.63,0,0.63,Matches
129,Nnamdi Collins,de GER,DF,Eintracht Frankfurt,22-060,2004,21,14,"1,347",15,1,2,3,1,0,0,4,0,0.07,0.13,0.2,0.07,0.2,Matches
130,Sirlord Conteh,de GER,"MF,FW",Heidenheim,29-245,1996,13,3,570,6.3,2,1,3,2,0,0,1,0,0.32,0.16,0.47,0.32,0.47,Matches
131,Yan Couto,br BRA,MF,Dortmund,23-281,2002,16,11,982,10.9,1,2,3,1,0,0,4,0,0.09,0.18,0.27,0.09,0.27,Matches
132,Jean-Luc Dompé,fr FRA,"FW,MF",Hamburger SV,30-211,1995,18,12,"1,113",12.4,3,0,3,2,1,1,0,0,0.24,0,0.24,0.16,0.16,Matches
133,Yannik Engelhardt,de GER,MF,Gladbach,25-032,2001,22,20,"1,711",19,2,1,3,2,0,0,5,0,0.11,0.05,0.16,0.11,0.16,Matches
134,Robin Fellhauer,de GER,MF,Augsburg,28-049,1998,25,23,"2,041",22.7,2,1,3,2,0,0,2,0,0.09,0.04,0.13,0.09,0.13,Matches
135,Leon Goretzka,de GER,MF,Bayern Munich,31-033,1995,22,17,"1,289",14.3,2,1,3,2,0,0,4,0,0.14,0.07,0.21,0.14,0.21,Matches
136,Christian Günter,de GER,DF,Freiburg,33-011,1993,18,13,"1,150",12.8,0,3,3,0,0,0,2,0,0,0.23,0.23,0,0.23,Matches
137,Arijon Ibrahimovi?,de GER,MF,Heidenheim,20-090,2005,24,20,"1,773",19.7,1,2,3,0,1,1,2,0,0.05,0.1,0.15,0,0.1,Matches
138,Hiroki Ito,jp JPN,DF,Bayern Munich,26-303,1999,10,5,481,5.3,1,2,3,1,0,0,0,0,0.19,0.37,0.56,0.19,0.56,Matches
139,Martijn Kaars,nl NED,FW,St Pauli,27-006,1999,20,11,994,11,3,0,3,2,1,1,1,0,0.27,0,0.27,0.18,0.18,Matches
140,Robin Koch,de GER,DF,Eintracht Frankfurt,29-237,1996,24,24,"2,131",23.7,3,0,3,3,0,0,1,0,0.13,0,0.13,0.13,0.13,Matches
141,Lukas Kübler,de GER,DF,Freiburg,33-193,1992,16,15,"1,207",13.4,2,1,3,2,0,0,2,0,0.15,0.07,0.22,0.15,0.22,Matches
142,Hugo Larsson,se SWE,MF,Eintracht Frankfurt,21-257,2004,18,14,"1,220",13.6,1,2,3,1,0,0,0,0,0.07,0.15,0.22,0.07,0.22,Matches
143,Shuto Machino,jp JPN,"FW,MF",Gladbach,26-162,1999,24,7,861,9.6,3,0,3,3,0,0,1,0,0.31,0,0.31,0.31,0.31,Matches
144,Eric Martel,de GER,"MF,DF",Köln,23-316,2002,24,23,"1,940",21.6,1,2,3,1,0,0,8,0,0.05,0.09,0.14,0.05,0.14,Matches
145,Han-Noah Massengo,fr FRA,MF,Augsburg,24-247,2001,25,24,"2,031",22.6,2,1,3,2,0,0,2,0,0.09,0.04,0.13,0.09,0.13,Matches
146,Jovan Miloševi?,rs SRB,FW,Werder Bremen,20-223,2005,8,2,298,3.3,3,0,3,3,0,0,2,0,0.91,0,0.91,0.91,0.91,Matches
147,Jamal Musiala,de GER,MF,Bayern Munich,23-013,2003,8,2,306,3.4,1,2,3,0,1,1,1,0,0.29,0.59,0.88,0,0.59,Matches
148,Nikolas Nartey,dk DEN,"MF,FW",Stuttgart,26-017,2000,21,10,887,9.9,2,1,3,2,0,0,1,0,0.2,0.1,0.3,0.2,0.3,Matches
149,Julian Niehues,de GER,MF,Heidenheim,24-328,2001,19,14,"1,107",12.3,3,0,3,3,0,0,1,0,0.24,0,0.24,0.24,0.24,Matches
150,Mathias Pereira Lage,pt POR,"FW,MF",St Pauli,29-101,1996,23,20,"1,606",17.8,1,2,3,1,0,0,2,0,0.06,0.11,0.17,0.06,0.17,Matches
151,Jarell Quansah,eng ENG,DF,Leverkusen,23-041,2003,21,18,"1,699",18.9,3,0,3,3,0,0,7,0,0.16,0,0.16,0.16,0.16,Matches
152,Marcel Sabitzer,at AUT,MF,Dortmund,31-359,1994,18,13,"1,195",13.3,1,2,3,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,Matches
153,Joe Scally,us USA,"DF,MF",Gladbach,23-070,2002,23,20,"1,822",20.2,1,2,3,1,0,0,6,0,0.05,0.1,0.15,0.05,0.15,Matches
154,Xaver Schlager,at AUT,MF,RB Leipzig,28-164,1997,19,15,"1,302",14.5,2,1,3,2,0,0,3,0,0.14,0.07,0.21,0.14,0.21,Matches
155,Jonathan Tah,de GER,DF,Bayern Munich,30-028,1996,21,19,"1,662",18.5,2,1,3,2,0,0,4,0,0.11,0.05,0.16,0.11,0.16,Matches
156,Philipp Treu,de GER,"DF,MF",Freiburg,25-098,2000,21,18,"1,619",18,1,2,3,1,0,0,2,0,0.06,0.11,0.17,0.06,0.17,Matches
157,Lucas Vázquez,es ESP,MF,Leverkusen,34-253,1991,9,5,393,4.4,1,2,3,1,0,0,2,0,0.23,0.46,0.69,0.23,0.69,Matches
158,Jeong Woo-yeong,kr KOR,"MF,FW",Union Berlin,26-172,1999,23,12,"1,010",11.2,2,1,3,2,0,0,0,0,0.18,0.09,0.27,0.18,0.27,Matches
159,Junior Adamu,at AUT,FW,Freiburg,24-278,2001,9,7,446,5,1,1,2,1,0,0,1,0,0.2,0.2,0.4,0.2,0.4,Matches
160,Waldemar Anton,de GER,DF,Dortmund,29-234,1996,23,23,"2,070",23,2,0,2,2,0,0,3,0,0.09,0,0.09,0.09,0.09,Matches
161,Johan Bakayoko,be BEL,"FW,MF",RB Leipzig,22-325,2003,15,8,708,7.9,2,0,2,2,0,0,1,0,0.25,0,0.25,0.25,0.25,Matches
162,Noahkai Banks,us USA,DF,Augsburg,19-100,2006,21,19,"1,650",18.3,1,1,2,1,0,0,8,0,0.05,0.05,0.11,0.05,0.11,Matches
163,Hannes Behrens,de GER,"MF,DF",Heidenheim,21-051,2005,7,6,550,6.1,0,2,2,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
164,Ramy Bensebaini,dz ALG,DF,Dortmund,30-329,1995,16,12,"1,166",13,2,0,2,2,0,0,5,0,0.15,0,0.15,0.15,0.15,Matches
165,Victor Boniface,ng NGA,FW,Werder Bremen,25-078,2000,11,2,333,3.7,0,2,2,0,0,0,1,0,0,0.54,0.54,0,0.54,Matches
166,Marnon Busch,de GER,"DF,MF",Heidenheim,31-093,1994,21,12,"1,247",13.9,0,2,2,0,0,0,2,0,0,0.14,0.14,0,0.14,Matches
167,Nicolás Capaldo,ar ARG,"DF,MF",Hamburger SV,28-178,1997,20,19,"1,540",17.1,1,1,2,1,0,0,6,0,0.06,0.06,0.12,0.06,0.12,Matches
168,Carney Chukwuemeka,eng ENG,"MF,FW",Dortmund,22-142,2003,20,6,665,7.4,2,0,2,2,0,0,1,0,0.27,0,0.27,0.27,0.27,Matches
169,Olivier Deman,be BEL,"MF,DF",Werder Bremen,25-339,2000,7,5,444,4.9,1,1,2,1,0,0,2,0,0.2,0.2,0.41,0.2,0.41,Matches
170,Eren Dinkçi,de GER,"MF,FW",Heidenheim,24-088,2001,6,5,441,4.9,1,1,2,1,0,0,0,0,0.2,0.2,0.41,0.2,0.41,Matches
171,Adam D?wiga?a,pl POL,DF,St Pauli,30-167,1995,15,11,"1,011",11.2,1,1,2,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,Matches
172,Maximilian Eggestein,de GER,MF,Freiburg,29-093,1996,25,25,"2,250",25,2,0,2,2,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches
173,Jonas Föhrenbach,de GER,"DF,MF",Heidenheim,30-044,1996,19,18,"1,650",18.3,1,1,2,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11,Matches
174,Valentin Gendrey,fr FRA,DF,Hoffenheim,25-263,2000,8,0,59,0.7,1,1,2,1,0,0,0,0,1.53,1.53,3.05,1.53,3.05,Matches
175,Robert Glatzel,de GER,FW,Hamburger SV,32-062,1994,14,3,295,3.3,1,1,2,1,0,0,0,0,0.31,0.31,0.61,0.31,0.61,Matches
176,Giorgi Gocholeishvili,ge GEO,MF,Hamburger SV,25-025,2001,20,9,858,9.5,0,2,2,0,0,0,3,1,0,0.21,0.21,0,0.21,Matches
177,Brajan Gruda,de GER,"MF,FW",RB Leipzig,21-284,2004,5,5,383,4.3,1,1,2,1,0,0,0,0,0.23,0.23,0.47,0.23,0.47,Matches
