"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
83;"Carlos Álvarez";"Levante";26;1820;3;1;2.54;4.42;0.13;0.22
84;"Arda Güler";"Real Madrid";27;1799;3;8;4.58;7.38;0.23;0.37
85;"Thiago Almada";"Atletico Madrid";19;848;3;1;3.39;1.91;0.36;0.2
86;"Alberto Reina";"Real Oviedo";26;1593;3;0;2.61;1.52;0.15;0.09
87;"Ilyas Chaira";"Real Oviedo";25;1677;3;1;4.93;1.6;0.26;0.09
88;"Adrián Liso";"Getafe";22;1420;3;0;2.37;0.13;0.15;0.01
89;"Ayoze Pérez";"Villarreal";18;836;2;3;3.33;1.67;0.36;0.18
90;"Salomón Rondón";"Real Oviedo";16;1054;2;0;3.78;0.19;0.32;0.02
91;"Rubén García";"Osasuna";25;1575;2;5;1.3;4.62;0.07;0.26
92;"Koke";"Atletico Madrid";25;1555;2;2;0.75;2.44;0.04;0.14
93;"Iñaki Williams";"Athletic Club";19;1330;2;2;5.14;2.04;0.35;0.14
94;"Pepelu";"Valencia";22;1730;2;0;3.22;1.2;0.17;0.06
95;"Thomas Lemar";"Girona";18;982;2;1;1.69;1.2;0.16;0.11
96;"Alex Berenguer";"Athletic Club";22;1619;2;3;4.22;4.64;0.23;0.26
97;"Giovani Lo Celso";"Real Betis";17;1098;2;2;2.73;2.55;0.22;0.21
98;"Federico Valverde";"Real Madrid";26;2174;2;7;1.23;4.44;0.05;0.18
99;"Javi Puado";"Espanyol";10;687;2;0;4.84;0.96;0.63;0.13
100;"Alejandro Catena";"Osasuna";25;2211;2;2;2.26;1.07;0.09;0.04
101;"Oihan Sancet";"Athletic Club";20;1381;2;0;5.96;1.15;0.39;0.07
102;"Iker Losada";"Levante";15;486;2;0;1.97;0.27;0.36;0.05
103;"Aleix Febas";"Elche";26;2315;2;1;1.88;1.1;0.07;0.04
104;"Luis Rioja";"Valencia";26;1875;2;4;1.81;2.34;0.09;0.11
105;"Takefusa Kubo";"Real Sociedad";18;1203;2;3;2.5;3.27;0.19;0.24
106;"Ronald Araújo";"Barcelona";16;697;2;0;1.23;0.05;0.16;0.01
107;"Sergio Carreira";"Celta Vigo";23;1831;2;1;1.52;1.01;0.07;0.05
108;"Álex Baena";"Atletico Madrid";18;1008;2;2;1.41;3.2;0.13;0.29
109;"Alfonso Espino";"Rayo Vallecano";20;903;2;0;1.53;1.3;0.15;0.13
110;"Pedri";"Barcelona";19;1323;2;7;2.22;4.3;0.15;0.29
111;"Conor Gallagher";"Atletico Madrid";19;630;2;0;1.27;0.5;0.18;0.07
112;"Hugo Álvarez";"Celta Vigo";18;799;2;1;0.72;1.65;0.08;0.19
113;"Adrián De la Fuente";"Levante";24;1901;2;1;2.3;0.96;0.11;0.05
114;"Eray Cömert";"Valencia";10;741;2;0;1.24;0.13;0.15;0.02
115;"Álvaro Fernández";"Real Madrid";23;1972;2;2;0.4;1.42;0.02;0.06
116;"Fran Pérez";"Rayo Vallecano";23;953;2;1;1.89;1.67;0.18;0.16
117;"Joel Roca";"Girona";22;881;2;1;2.69;0.83;0.27;0.09
118;"Pablo Durán";"Celta Vigo";20;967;2;2;3.07;1.73;0.29;0.16
119;"Mateo Joseph";"Mallorca";26;1508;2;2;3.86;1.45;0.23;0.09
120;"Mario Martín";"Getafe";25;1554;2;0;1.66;0.3;0.1;0.02
121;"Mikel Jauregizar";"Athletic Club";26;2205;2;0;1.06;1.25;0.04;0.05
122;"Nobel Mendy";"Rayo Vallecano";17;1388;2;0;2.18;0.04;0.14;0
123;"Javier Rueda";"Celta Vigo";19;949;2;4;1.59;2.78;0.15;0.26
124;"Peque";"Sevilla";21;856;2;1;0.73;0.61;0.08;0.06
125;"Marc Bernal";"Barcelona";14;369;2;1;0.92;0.67;0.22;0.16
126;"Raúl";"Real Madrid";19;1332;2;0;1.41;0.21;0.1;0.01
127;"Jones El Abdellaoui";"Celta Vigo";17;463;2;0;2.28;0.4;0.44;0.08
128;"Martim Neto";"Elche";21;1114;2;5;1.04;2.61;0.08;0.21
129;"Tani Oluwaseyi";"Villarreal";21;594;2;1;3.55;1.76;0.54;0.27
130;"Luis Vázquez";"Getafe";7;576;2;0;0.79;0.1;0.12;0.02
131;"Jeremy Toljan";"Levante";26;2277;1;3;0.64;3.97;0.03;0.16
132;"Juanmi";"Getafe";8;152;1;0;0.14;0.06;0.08;0.03
133;"Pablo Maffeo";"Mallorca";22;1895;1;0;0.21;0.31;0.01;0.01
134;"Umar Sadiq";"Real Sociedad,Valencia";14;556;1;1;1.86;1.53;0.3;0.25
135;"Marcos Alonso";"Celta Vigo";23;1981;1;0;2.13;0.92;0.1;0.04
136;"Eric Bailly";"Real Oviedo";7;596;1;0;0.19;0;0.03;0
137;"Diego Llorente";"Real Betis";10;532;1;0;0.79;0;0.13;0
138;"Morales";"Levante";18;268;1;1;2.41;1.04;0.81;0.35
139;"Denis Suárez";"Alaves";21;1020;1;1;1.33;1.27;0.12;0.11
140;"Álvaro Odriozola";"Real Sociedad";5;196;1;0;0.57;1.14;0.26;0.52
141;"Marc Bartra";"Real Betis";21;1672;1;0;0.55;0.09;0.03;0
142;"Omar Mascarell";"Mallorca";20;1398;1;1;0.18;0.27;0.01;0.02
143;"José Gayá";"Valencia";23;1818;1;1;0.65;1.63;0.03;0.08
144;"Alfonso";"Villarreal";20;1118;1;2;1.2;3.67;0.1;0.3
145;"Sergi Darder";"Mallorca";27;1902;1;4;2.03;4.08;0.1;0.19
146;"Axel Witsel";"Girona";21;1646;1;2;2.36;2.04;0.13;0.11
147;"Neal Maupay";"Sevilla";4;332;1;0;0.65;0.1;0.18;0.03
148;"Kiko Femenía";"Getafe";22;1666;1;1;0.63;1.15;0.03;0.06
149;"Edu Expósito";"Espanyol";25;1715;1;6;2.01;6.34;0.11;0.33
150;"Kike Barja";"Osasuna";17;171;1;0;0.43;0.1;0.22;0.05
151;"Ademola Lookman";"Atletico Madrid";5;263;1;0;1.46;0.12;0.5;0.04
152;"Baptiste Santamaria";"Valencia";19;731;1;1;0.52;0.74;0.06;0.09
153;"Mouctar Diakhaby";"Valencia";8;539;1;0;0.63;0.06;0.11;0.01
154;"Dodi Lukebakio";"Sevilla";2;180;1;0;0.05;0.86;0.03;0.43
155;"Takuma Asano";"Mallorca";15;487;1;0;1.26;0.93;0.23;0.17
156;"Ander Guevara";"Alaves";19;502;1;0;0.6;0.12;0.11;0.02
157;"Jules Koundé";"Barcelona";25;1894;1;3;2.11;4.21;0.1;0.2
158;"Aurelien Tchouameni";"Real Madrid";24;2022;1;0;2.37;2.16;0.11;0.1
159;"Manuel Morlanes";"Mallorca";21;1059;1;0;0.58;0.78;0.05;0.07
160;"Grady Diangana";"Elche";15;690;1;0;0.67;0.63;0.09;0.08
161;"Miguel Ángel Rubio";"Espanyol";9;134;1;0;0.56;0;0.38;0
162;"Fran Beltrán";"Celta Vigo,Girona";17;974;1;0;0.54;0.5;0.05;0.05
163;"Ezequiel Ávila";"Real Betis";11;308;1;0;1.56;0.38;0.46;0.11
164;"Duje Caleta-Car";"Real Sociedad";18;1409;1;0;1.61;0.2;0.1;0.01
165;"Adrià Pedrosa";"Elche,Sevilla";18;731;1;1;0.57;1.44;0.07;0.18
166;"Leander Dendoncker";"Real Oviedo";19;1338;1;0;0.54;0.43;0.04;0.03
167;"Robin Le Normand";"Atletico Madrid";20;1266;1;0;1.09;0.05;0.08;0
168;"Eduardo Camavinga";"Real Madrid";19;1045;1;0;1.05;1.21;0.09;0.1
169;"Manuel Sánchez";"Levante";23;2023;1;1;1.13;1.05;0.05;0.05
170;"Frenkie de Jong";"Barcelona";19;1490;1;4;1.08;4.61;0.07;0.28
171;"Eder Militão";"Real Madrid";13;1006;1;1;1.47;1.09;0.13;0.1
172;"Nemanja Gudelj";"Sevilla";23;1676;1;0;0.66;0.21;0.04;0.01
173;"Pol Lozano";"Espanyol";25;1818;1;1;0.63;0.82;0.03;0.04
174;"Rodrygo";"Real Madrid";19;633;1;3;2.85;2.88;0.4;0.41
175;"Eric Garcia";"Barcelona";27;2192;1;1;3.3;1.55;0.14;0.06
176;"Mateu Morey";"Mallorca";16;645;1;0;0.18;0.52;0.03;0.07
177;"Lucien Agoume";"Sevilla";24;1959;1;2;0.65;2.4;0.03;0.11
178;"Pablo Martínez";"Levante";17;1176;1;2;1.84;2.82;0.14;0.22
179;"Batista Mendy";"Sevilla";22;1493;1;0;0.81;0.49;0.05;0.03
180;"Chidera Ejuke";"Sevilla";20;594;1;1;1.3;0.87;0.2;0.13
181;"Aitor Paredes";"Athletic Club";17;1445;1;0;1.34;0.74;0.08;0.05
182;"Óscar Mingueza";"Celta Vigo";23;1437;1;3;0.5;2.75;0.03;0.17
183;"John Donald";"Elche";14;449;1;0;0.73;0;0.15;0
184;"Juan Iglesias";"Getafe";26;2200;1;2;1.05;1.35;0.04;0.06
185;"Alfon";"Sevilla,Villarreal";13;330;1;0;0.9;0.34;0.25;0.09
186;"Antonio Blanco";"Alaves";25;2156;1;1;0.72;0.74;0.03;0.03
187;"Jon Ander Olasagasti";"Levante";23;848;1;2;0.96;2.02;0.1;0.21
188;"Inigo Ruiz de Galarreta";"Athletic Club";24;1621;1;1;0.49;1.82;0.03;0.1
189;"José Ángel Carmona";"Sevilla";25;1906;1;3;0.79;1.47;0.04;0.07
190;"Fran García";"Real Madrid";7;413;1;0;0.85;0.07;0.18;0.02
191;"Óscar Valentín";"Rayo Vallecano";23;1521;1;0;1.49;0.71;0.09;0.04
192;"Pathé Ciss";"Rayo Vallecano";19;1331;1;0;1.86;0.27;0.13;0.02
193;"Nicolás Serrano";"Athletic Club";11;306;1;0;0.58;0.45;0.17;0.13
194;"Bryan Zaragoza";"Celta Vigo";19;1138;1;1;1.91;2.26;0.15;0.18
195;"Rafa Marín";"Villarreal";17;1488;1;0;0.2;0.68;0.01;0.04
196;"Jofre Carreras";"Espanyol";19;743;1;0;1.77;1.29;0.21;0.16
197;"Iker Benito";"Osasuna";5;147;1;0;0.39;0.14;0.24;0.09
198;"Javier Guerra";"Valencia";26;1342;1;3;1.74;1.94;0.12;0.13
199;"Kike Salas";"Sevilla";16;1299;1;0;0.58;0.25;0.04;0.02
200;"Nahuel Tenaglia";"Alaves";25;2250;1;0;1.36;0.25;0.05;0.01
201;"Luka Ilic";"Real Oviedo";17;643;1;0;1.22;0.13;0.17;0.02
202;"Pablo Barrios Rivas";"Atletico Madrid";21;1591;1;1;1.4;1.7;0.08;0.1
203;"Manor Solomon";"Villarreal";6;129;1;1;0.61;0.47;0.42;0.33
204;"Pablo Ibáñez";"Alaves";26;1636;1;1;3.29;1;0.18;0.06
205;"Ramón Terrats";"Espanyol";19;551;1;1;0.84;1.69;0.14;0.28
206;"Arnau Martinez";"Girona";24;1806;1;1;1.04;1.61;0.05;0.08
207;"Marcão";"Sevilla";13;935;1;0;0.92;0;0.09;0
208;"Pablo Torre";"Mallorca";24;829;1;2;1.27;1.67;0.14;0.18
209;"Pep Chavarría";"Rayo Vallecano";24;2012;1;2;0.5;2.36;0.02;0.11
210;"Rodrigo Mendoza";"Atletico Madrid,Elche";20;1008;1;0;0.63;0.8;0.06;0.07
211;"Unai Gómez";"Athletic Club";19;592;1;1;1.42;0.61;0.22;0.09
212;"Lucas Beltrán";"Valencia";21;1118;1;2;3.61;1.89;0.29;0.15
213;"Dean Huijsen";"Real Madrid";19;1416;1;2;1.88;1.13;0.12;0.07
214;"Sergi Altimira";"Real Betis";18;908;1;1;0.37;0.47;0.04;0.05
215;"Pau Cubarsí";"Barcelona";22;1950;1;0;0.55;0.35;0.03;0.02
216;"Alan Matturro";"Levante";13;597;1;0;0.59;0.01;0.09;0
217;"Hector Fort";"Elche";9;323;1;2;0.65;0.21;0.18;0.06
218;"Jon Aramburu";"Real Sociedad";25;2061;1;0;1.77;0.35;0.08;0.02
219;"Asier Osambela";"Osasuna";11;266;1;0;0.28;0.11;0.09;0.04
