"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
233;"Ben Chilwell";"Strasbourg";18;1462;0;2;0.29;1.42;0.02;0.09
234;"Chancel Mbemba";"Lille";11;858;0;0;0.29;0.59;0.03;0.06
235;"Ciro Immobile";"Paris FC";5;329;0;0;0.28;0.48;0.08;0.13
236;"Emerson";"Marseille";20;1569;0;3;0.27;3.05;0.02;0.18
237;"Assane Diousse";"Auxerre";14;186;0;0;0.16;0.15;0.08;0.07
238;"Pol Lirola";"Marseille";3;19;0;0;0;0.08;0;0.38
239;"Geoffrey Kondogbia";"Marseille";8;494;0;0;0.28;0.02;0.05;0
240;"Sofiane Boufal";"Le Havre";8;474;0;2;0.22;1.3;0.04;0.25
241;"Paul Pogba";"Monaco";3;22;0;0;0;0;0;0
242;"Joel Asoro";"Metz";8;220;0;0;0.78;0.1;0.32;0.04
243;"Arthur Masuaku";"Lens";1;1;0;0;0;0;0;0
244;"Timothée Kolodziejczak";"Paris FC";11;660;0;0;0.04;0.04;0.01;0.01
245;"Gerónimo Rulli";"Marseille";21;1890;0;0;0;0;0;0
246;"Lucas Hernández";"Paris Saint Germain";17;1160;0;2;0.26;1.05;0.02;0.08
247;"André Gomes";"Lille";2;4;0;0;0;0;0;0
248;"Thilo Kehrer";"Monaco";19;1650;0;0;1.44;0.09;0.08;0
249;"Hamari Traore";"Paris FC";11;877;0;1;0.36;0.7;0.04;0.07
250;"Frederic Guilbert";"Nantes";1;12;0;0;0;0;0;0
251;"Anthony Lopes";"Nantes";24;2159;0;0;0.07;0;0;0
252;"Rachid Ghezzal";"Lyon";7;129;0;0;0.11;0.02;0.07;0.01
253;"Kevin Trapp";"Paris FC";14;1260;0;0;0;0;0;0
254;"Benjamin Stambouli";"Metz";14;738;0;0;0.24;0.89;0.03;0.11
255;"Adrien Rabiot";"Marseille";1;90;0;0;0.03;0.2;0.03;0.2
256;"Marquinhos";"Paris Saint Germain";11;770;0;0;0.03;0.03;0;0
257;"Florian Sotoca";"Lens";19;106;0;0;0.19;0.73;0.16;0.62
258;"Bouna Sarr";"Metz";3;157;0;0;0.05;0;0.03;0
259;"Maxime Dupé";"Nice";8;720;0;0;0;0.03;0;0
260;"Pierrick Capelle";"Angers";7;155;0;0;0.06;0.11;0.03;0.06
261;"Neal Maupay";"Marseille";1;1;0;0;0;0;0;0
262;"Morgan Sanson";"Nice";23;1135;0;2;1.69;1.03;0.13;0.08
263;"Lucas Tousart";"Brest";17;451;0;0;0.21;0.48;0.04;0.1
264;"Maxime Lopez";"Paris FC";20;1694;0;3;0.32;4.94;0.02;0.26
265;"Kelvin Adou";"Nantes";21;1873;0;1;0.34;1.31;0.02;0.06
266;"Mathieu Cafaro";"Paris FC";8;131;0;0;0.3;0.24;0.2;0.17
267;"Brice Samba";"Rennes";24;2160;0;0;0;0.06;0;0
268;"Hans Hateboer";"Lyon,Rennes";12;515;0;0;0.22;0.03;0.04;0.01
269;"Caio Henrique";"Monaco";21;1521;0;1;0.19;2.68;0.01;0.16
270;"Matvey Safonov";"Paris Saint Germain";8;720;0;0;0;0.1;0;0.01
271;"Malang Sarr";"Lens";24;2160;0;1;1.06;0.31;0.04;0.01
272;"Thomas Meunier";"Lille";17;1201;0;1;0.53;1.7;0.04;0.13
273;"Karl-Johan Johnsson";"Strasbourg";1;90;0;0;0;0;0;0
274;"Abdoulaye Bamba";"Angers";3;98;0;0;0.01;0;0.01;0
275;"Matthieu Udol";"Lens";25;2243;0;7;2.49;9.78;0.1;0.39
276;"Carlens Arcus";"Angers";23;2008;0;3;0.2;2.09;0.01;0.09
277;"Pierre-Yves Hamel";"Paris FC";2;78;0;0;0;0;0;0
278;"Remy Descamps";"Lyon";4;360;0;0;0;0;0;0
279;"Fode Toure";"Metz";12;861;0;0;0.24;0.99;0.03;0.1
280;"Tanguy NDombele Alvaro";"Nice";7;188;0;1;0.25;0.45;0.12;0.22
281;"Bingourou Kamara";"Lorient";3;270;0;0;0;0;0;0
282;"Kenny Lala";"Brest";24;2143;0;2;0.24;2.96;0.01;0.12
283;"Moussa Niakhate";"Lyon";23;1940;0;2;0.11;0.75;0.01;0.03
284;"Nicolas Cozza";"Nantes";21;1577;0;0;0.13;0.33;0.01;0.02
285;"Kouakou Herve Koffi";"Angers";22;1980;0;0;0;0;0;0
286;"Orel Mangala";"Lyon";3;16;0;0;0.09;0.03;0.53;0.18
287;"Yvon Mvogo";"Lorient";22;1980;0;0;0;0.08;0;0
288;"Elisha Owusu";"Auxerre";20;1556;0;0;0.06;0.75;0;0.04
289;"Romain Faivre";"Auxerre";4;164;0;0;0.11;0.03;0.06;0.02
290;"Yehvann Diouf";"Nice";17;1530;0;0;0;0;0;0
291;"Jordan Lefort";"Angers";25;2250;0;2;0.42;0.83;0.02;0.03
292;"Ibrahima Sissoko";"Nantes";5;263;0;0;0.04;0;0.01;0
293;"Jonathan Gradit";"Lens";9;810;0;0;0.11;0.09;0.01;0.01
294;"Leonardo Balerdi";"Marseille";18;1353;0;1;1.24;0.22;0.08;0.01
295;"Younes Namli";"Le Havre";12;300;0;1;0.14;0.44;0.04;0.13
