"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
481;"Tylel Tati";"Nantes";18;1600;0;0;0.5;0.02;0.03;0
482;"Kwon Hyeok-Kyu";"Nantes";12;777;0;0;0.1;0;0.01;0
483;"Yassine Benhattab";"Nantes";10;479;0;0;0.18;0.69;0.03;0.13
484;"Amady Camara";"Nantes";10;131;0;0;0.69;0.12;0.48;0.08
485;"Otávio";"Paris FC";20;1731;0;0;0.2;0.13;0.01;0.01
486;"Ismaël Guerti";"Metz";3;15;0;0;0;0;0;0
487;"Cleo Mélières";"Metz";2;26;0;0;0;0;0;0
488;"Abdoulaye Faye";"Lorient";8;659;0;0;0.48;0;0.07;0
489;"Mathys Silistre";"Rennes";1;90;0;0;0;0;0;0
490;"Rafael Luís";"Strasbourg";8;264;0;0;0.05;0.07;0.02;0.03
491;"Daouda Guindo";"Brest";18;1095;0;0;0.86;0.48;0.07;0.04
492;"Terry Yegbe";"Metz";17;1437;0;1;0.82;0.37;0.05;0.02
493;"Martin Bley";"Lorient";1;1;0;0;0;0;0;0
494;"Charles Vanhoutte";"Nice";20;1566;0;2;0.12;0.97;0.01;0.06
495;"Tiago Gouveia";"Nice";14;506;0;0;0.9;0.64;0.16;0.11
496;"Bahmed Deuff";"Nantes";10;199;0;0;0.23;0.15;0.1;0.07
497;"Calvin Verdonk";"Lille";11;546;0;0;0.03;0.7;0;0.11
498;"Abu Francis";"Toulouse";8;546;0;0;0.18;0.04;0.03;0.01
499;"Ryan Rodin";"Auxerre";2;15;0;0;0;0;0;0
500;"Enzo Koffi";"Le Havre";9;187;0;0;0.32;0.13;0.15;0.06
501;"Pape Cabral";"Monaco";4;53;0;0;0.51;0;0.86;0
502;"Mathis Jangeal";"Paris Saint Germain";1;6;0;0;0;0;0;0
503;"Tidiane Devernois";"Auxerre";2;2;0;0;0;0.12;0;5.58
504;"Believe Munongo";"Metz";6;298;0;0;0.14;0.01;0.04;0
505;"Tadjidine Mmadi";"Marseille";2;8;0;0;0;0.02;0;0.26
506;"Lucas Rosier";"Rennes";2;2;0;0;0;0;0;0
507;"Yvan Zaddy";"Auxerre";1;1;0;0;0;0;0;0
508;"Brad-Hamilton Mantsounga";"Nice";1;90;0;0;0;0;0;0
509;"Adil Hamdani";"Lyon";3;11;0;0;0.03;0;0.23;0
510;"Elias Legendre";"Rennes";6;27;0;0;0.47;0.13;1.56;0.44
511;"Mamoudou Cissokho";"Auxerre";1;1;0;0;0;0;0;0
512;"Zoumana Diallo";"Nice";1;7;0;0;0;0.08;0;1.06
513;"Everton Pereira da Silva";"Nice";1;71;0;0;0.08;0;0.1;0
514;"Noah Nsoki";"Paris Saint Germain";1;4;0;0;0;0;0;0
515;"Mohamed Benoit-Dao";"Paris FC";1;1;0;0;0;0;0;0
516;"Gessime Yassine";"Strasbourg";5;74;0;0;0.03;0.1;0.04;0.13
517;"Quinten Timber";"Marseille";7;556;0;0;0.93;0.28;0.15;0.05
518;"Ali Youssef";"Nantes";1;90;0;0;0;0;0;0
519;"Bryan Okoh";"Auxerre";5;364;0;0;0.15;0.17;0.04;0.04
520;"Giorgi Kvilitaia";"Metz";5;115;0;0;0.16;0.45;0.12;0.36
521;"Ali Youssif";"Nantes";5;442;0;0;0.05;0.09;0.01;0.02
522;"Jacen Russell-Rowe";"Toulouse";5;77;0;0;0.69;0.1;0.81;0.12
523;"Yassir Zabiri";"Rennes";1;7;0;0;0;0;0;0
524;"Tochukwu Nnadi";"Marseille";2;23;0;0;0;0;0;0
525;"Daniel Semedo";"Lorient";1;7;0;0;0;0;0;0
