,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
,,,,,,,,,,,,,?,,,,,,,,,,,
134,Matt O'Riley,dk DEN,MF,Marseille,25-110,2000,15,6,741,8.2,1,2,3,1,0,0,2,0,0.12,0.24,0.36,0.12,0.36,Matches
135,Kassoum Ouattara,fr FRA,"MF,DF",Monaco,21-148,2004,14,12,959,10.7,0,3,3,0,0,0,3,0,0,0.28,0.28,0,0.28,Matches
136,Emerson Palmieri,it ITA,"DF,MF",Marseille,31-220,1994,20,17,"1,573",17.5,0,3,3,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches
137,Benjamin Pavard,fr FRA,DF,Marseille,29-348,1996,20,16,"1,385",15.4,1,2,3,1,0,0,4,0,0.06,0.13,0.19,0.06,0.19,Matches
138,Prosper Peter,ng NGA,FW,Angers,18-214,2007,22,10,943,10.5,3,0,3,3,0,0,0,0,0.29,0,0.29,0.29,0.29,Matches
139,Lilian Raolisoa,fr FRA,"MF,FW",Angers,25-268,2000,23,13,"1,253",13.9,2,1,3,2,0,0,2,0,0.14,0.07,0.22,0.14,0.22,Matches
140,Fabián Ruiz Peña,es ESP,MF,Paris Saint-Germain,29-342,1996,13,9,796,8.8,1,2,3,1,0,0,1,0,0.11,0.23,0.34,0.11,0.34,Matches
141,Osame Sahraoui,ma MAR,MF,Lille,24-273,2001,16,4,463,5.1,1,2,3,1,0,0,0,0,0.19,0.39,0.58,0.19,0.58,Matches
142,Allan Saint-Maximin,fr FRA,MF,Lens,28-364,1997,4,1,158,1.8,1,2,3,1,0,0,0,0,0.57,1.14,1.71,0.57,1.71,Matches
143,Martin Satriano,uy URU,FW,Lyon,25-019,2001,11,8,692,7.7,2,1,3,2,0,0,1,0,0.26,0.13,0.39,0.26,0.39,Matches
144,Sebastian Szyma?ski,pl POL,MF,Rennes,26-305,1999,7,5,380,4.2,1,2,3,1,0,0,0,0,0.24,0.47,0.71,0.24,0.71,Matches
145,Nicolás Tagliafico,ar ARG,DF,Lyon,33-192,1992,17,12,"1,129",12.5,0,3,3,0,0,0,4,1,0,0.24,0.24,0,0.24,Matches
146,Heorhii Tsitaishvili,ge GEO,"MF,FW",Metz,25-113,2000,25,20,"1,735",19.3,2,1,3,2,0,0,2,0,0.1,0.05,0.16,0.1,0.16,Matches
147,Elye Wahi,fr FRA,FW,Nice,23-068,2003,6,5,371,4.1,3,0,3,3,0,0,2,0,0.73,0,0.73,0.73,0.73,Matches
148,Denis Zakaria,ch SUI,"MF,DF",Monaco,29-111,1996,15,14,"1,221",13.6,2,1,3,2,0,0,3,1,0.15,0.07,0.22,0.15,0.22,Matches
149,Himad Abdelli,dz ALG,MF,Angers,26-114,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.19,0,0.19,0,0,Matches
150,Samuel Amo-Ameyaw,eng ENG,"MF,DF",Strasbourg,19-236,2006,18,4,585,6.5,1,1,2,1,0,0,1,0,0.15,0.15,0.31,0.15,0.31,Matches
151,Arthur Avom,cm CMR,MF,Lorient,21-086,2004,22,16,"1,534",17,1,1,2,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,Matches
152,Chidozie Awaziem,ng NGA,DF,Nantes,29-069,1997,21,21,"1,859",20.7,1,1,2,1,0,0,7,0,0.05,0.05,0.1,0.05,0.1,Matches
153,Melvin Bard,fr FRA,"DF,MF",Nice,25-125,2000,21,18,"1,716",19.1,1,1,2,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,Matches
154,Sofiane Boufal,ma MAR,"FW,MF",Le Havre,32-175,1993,8,6,460,5.1,0,2,2,0,0,0,1,0,0,0.39,0.39,0,0.39,Matches
155,Marius Broholm,no NOR,MF,Lille,21-075,2004,11,3,279,3.1,1,1,2,0,1,1,0,0,0.32,0.32,0.65,0,0.32,Matches
156,Noah Cadiou,gp GLP,MF,Lorient,27-136,1998,19,11,"1,069",11.9,1,1,2,1,0,0,0,0,0.08,0.08,0.17,0.08,0.17,Matches
157,Ben Chilwell,eng ENG,"DF,MF",Strasbourg,29-080,1996,18,17,"1,451",16.1,0,2,2,0,0,0,4,0,0,0.12,0.12,0,0.12,Matches
158,Joris Chotard,fr FRA,MF,Brest,24-168,2001,24,23,"2,067",23,2,0,2,2,0,0,1,0,0.09,0,0.09,0.09,0.09,Matches
159,Pape Demba Diop,sn SEN,MF,Toulouse,22-188,2003,8,8,688,7.6,1,1,2,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,Matches
160,Soriba Diaoune,fr FRA,MF,Lille,18-209,2007,10,1,185,2.1,1,1,2,1,0,0,0,0,0.49,0.49,0.97,0.49,0.97,Matches
