,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
,,,,,,,,,,,,,?,,,,,,,,,,,
158,Davide Bartesaghi,it ITA,"MF,DF",Milan,20-072,2005,22,19,"1,743",19.4,2,0,2,2,0,0,2,0,0.1,0,0.1,0.1,0.1,Matches
159,Federico Baschirotto,it ITA,DF,Cremonese,29-172,1996,25,25,"2,250",25,2,0,2,2,0,0,2,0,0.08,0,0.08,0.08,0.08,Matches
160,Rafik Belghali,dz ALG,MF,Hellas Verona,23-277,2002,16,13,"1,124",12.5,2,0,2,2,0,0,5,0,0.16,0,0.16,0.16,0.16,Matches
161,Andrea Belotti,it ITA,FW,Cagliari,32-081,1993,3,3,188,2.1,2,0,2,1,1,1,0,0,0.96,0,0.96,0.48,0.48,Matches
162,Adrian Benedyczak,pl POL,FW,Parma,25-107,2000,14,5,490,5.4,1,1,2,0,1,1,1,0,0.18,0.18,0.37,0,0.18,Matches
163,Sam Beukema,nl NED,DF,Napoli,27-114,1998,16,13,"1,142",12.7,2,0,2,2,0,0,2,0,0.16,0,0.16,0.16,0.16,Matches
164,Matteo Bianchetti,it ITA,DF,Cremonese,32-359,1993,21,20,"1,674",18.6,0,2,2,0,0,0,3,0,0,0.11,0.11,0,0.11,Matches
165,Jeremie Boga,ci CIV,"FW,MF",Juventus,29-067,1997,5,0,122,1.4,2,0,2,2,0,0,0,0,1.48,0,1.48,1.48,1.48,Matches
166,Sascha Britschgi,ch SUI,"MF,DF",Parma,19-196,2006,23,19,"1,746",19.4,0,2,2,0,0,0,4,0,0,0.1,0.1,0,0.1,Matches
167,Adam Buksa,pl POL,FW,Udinese,29-242,1996,19,3,627,7,2,0,2,2,0,0,2,0,0.29,0,0.29,0.29,0.29,Matches
168,Saúl Coco,gq EQG,DF,Torino,27-030,1999,25,25,"2,250",25,1,1,2,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matches
169,Juan David Cabal,co COL,MF,Juventus,25-062,2001,12,2,296,3.3,2,0,2,2,0,0,1,0,0.61,0,0.61,0.61,0.61,Matches
170,Koni De Winter,be BEL,DF,Milan,23-272,2002,20,14,"1,368",15.2,1,1,2,1,0,0,1,0,0.07,0.07,0.13,0.07,0.13,Matches
171,Alessandro Deiola,it ITA,"MF,DF",Cagliari,30-222,1995,12,11,958,10.6,0,2,2,0,0,0,3,0,0,0.19,0.19,0,0.19,Matches
172,Giovanni Di Lorenzo,it ITA,"DF,MF",Napoli,32-219,1993,23,23,"2,009",22.3,1,1,2,1,0,0,1,0,0.04,0.04,0.09,0.04,0.09,Matches
173,Dodô,br BRA,"MF,DF",Fiorentina,27-114,1998,27,27,"2,324",25.8,0,2,2,0,0,0,6,0,0,0.08,0.08,0,0.08,Matches
174,Rafiu Durosinmi,ng NGA,FW,Pisa,23-069,2003,8,3,348,3.9,1,1,2,1,0,0,0,0,0.26,0.26,0.52,0.26,0.52,Matches
175,Jeff Ekhator,it ITA,FW,Genoa,19-120,2006,22,5,618,6.9,2,0,2,2,0,0,3,0,0.29,0,0.29,0.29,0.29,Matches
176,Mikael Ellertsson,is ISL,MF,Genoa,24-000,2002,27,22,"2,003",22.3,1,1,2,1,0,0,1,0,0.04,0.04,0.09,0.04,0.09,Matches
177,Pervis Estupiñán,ec ECU,MF,Milan,28-049,1998,15,11,832,9.2,1,1,2,1,0,0,2,1,0.11,0.11,0.22,0.11,0.22,Matches
178,Giovanni Fabbian,it ITA,MF,Bologna,23-056,2003,14,8,705,7.8,2,0,2,2,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches
179,Michael Folorunsho,it ITA,"MF,FW",Cagliari,28-032,1998,18,17,"1,426",15.8,2,0,2,2,0,0,3,0,0.13,0,0.13,0.13,0.13,Matches
180,Martin Frese,dk DEN,"MF,DF",Hellas Verona,28-066,1998,22,18,"1,692",18.8,2,0,2,2,0,0,5,0,0.11,0,0.11,0.11,0.11,Matches
181,Remo Freuler,ch SUI,MF,Bologna,33-330,1992,20,18,"1,491",16.6,0,2,2,0,0,0,5,0,0,0.12,0.12,0,0.12,Matches
182,Antonino Gallo,it ITA,DF,Lecce,26-065,2000,28,26,"2,309",25.7,0,2,2,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
183,Omri Gandelman,il ISR,"MF,FW",Lecce,25-299,2000,10,8,629,7,2,0,2,2,0,0,0,0,0.29,0,0.29,0.29,0.29,Matches
184,Federico Gatti,it ITA,DF,Juventus,27-260,1998,15,11,945,10.5,2,0,2,2,0,0,3,0,0.19,0,0.19,0.19,0.19,Matches
185,Robin Gosens,de GER,"MF,DF",Fiorentina,31-249,1994,17,15,"1,219",13.5,2,0,2,2,0,0,2,0,0.15,0,0.15,0.15,0.15,Matches
186,Miguel Gutiérrez,es ESP,"MF,DF",Napoli,24-227,2001,18,9,881,9.8,1,1,2,1,0,0,0,0,0.1,0.1,0.2,0.1,0.2,Matches
187,Riyad Idrissi,it ITA,"MF,DF",Cagliari,20-271,2005,23,4,783,8.7,2,0,2,2,0,0,3,0,0.23,0,0.23,0.23,0.23,Matches
188,Dennis Johnsen,no NOR,"MF,FW",Cremonese,28-022,1998,11,5,390,4.3,1,1,2,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46,Matches
189,Thomas Kristensen,dk DEN,DF,Udinese,24-053,2002,18,18,"1,614",17.9,2,0,2,2,0,0,2,0,0.11,0,0.11,0.11,0.11,Matches
190,Valentino Lazaro,at AUT,MF,Torino,29-352,1996,27,23,"2,043",22.7,0,2,2,0,0,0,4,0,0,0.09,0.09,0,0.09,Matches
191,Stanislav Lobotka,sk SVK,MF,Napoli,31-106,1994,23,20,"1,791",19.9,1,1,2,1,0,0,1,0,0.05,0.05,0.1,0.05,0.1,Matches
192,Ademola Lookman,ng NGA,"FW,MF",Atalanta,28-142,1997,12,9,795,8.8,2,0,2,2,0,0,0,0,0.23,0,0.23,0.23,0.23,Matches
193,Daniel Maldini,it ITA,FW,Lazio,24-151,2001,5,5,387,4.3,1,1,2,1,0,0,0,0,0.23,0.23,0.47,0.23,0.47,Matches
194,Gianluca Mancini,it ITA,DF,Roma,29-328,1996,27,27,"2,397",26.6,0,2,2,0,0,0,9,0,0,0.08,0.08,0,0.08,Matches
195,Alessandro Marcandalli,it ITA,DF,Genoa,23-137,2002,22,19,"1,714",19,0,2,2,0,0,0,4,0,0,0.11,0.11,0,0.11,Matches
196,Guillermo Maripán,cl CHI,DF,Torino,31-309,1994,24,23,"2,026",22.5,2,0,2,2,0,0,3,0,0.09,0,0.09,0.09,0.09,Matches
197,Adam Maruši?,me MNE,DF,Lazio,33-145,1992,26,25,"2,208",24.5,1,1,2,1,0,0,1,1,0.04,0.04,0.08,0.04,0.08,Matches
198,Nemanja Mati?,rs SRB,MF,Sassuolo,37-222,1988,25,24,"2,125",23.6,1,1,2,1,0,0,6,1,0.04,0.04,0.08,0.04,0.08,Matches
199,Henrik Meister,dk DEN,FW,Pisa,22-114,2003,21,14,"1,275",14.2,2,0,2,2,0,0,1,0,0.14,0,0.14,0.14,0.14,Matches
200,Nikola Moro,hr CRO,MF,Bologna,27-364,1998,21,14,"1,302",14.5,2,0,2,2,0,0,1,0,0.14,0,0.14,0.14,0.14,Matches
201,Daniel Mosquera,co COL,FW,Hellas Verona,26-142,1999,19,5,581,6.5,0,2,2,0,0,0,1,0,0,0.31,0.31,0,0.31,Matches
202,Konan N'dri,ci CIV,"FW,MF",Lecce,25-135,2000,18,0,344,3.8,2,0,2,2,0,0,2,0,0.52,0,0.52,0.52,0.52,Matches
203,Michel Ndary Adopo,fr FRA,MF,Cagliari,25-235,2000,28,24,"2,268",25.2,1,1,2,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matches
204,Cyril Ngonge,be BEL,FW,Torino,25-289,2000,20,11,994,11,1,1,2,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,Matches
205,Hans Nicolussi Caviglia,it ITA,MF,Parma,25-266,2000,6,2,227,2.5,0,2,2,0,0,0,0,0,0,0.79,0.79,0,0.79,Matches
206,Alieu Njie,se SWE,FW,Torino,20-301,2005,9,1,120,1.3,1,1,2,1,0,0,1,0,0.75,0.75,1.5,0.75,1.5,Matches
207,Tijjani Noslin,nl NED,FW,Lazio,26-247,1999,20,4,557,6.2,2,0,2,2,0,0,2,1,0.32,0,0.32,0.32,0.32,Matches
208,Roberto Piccoli,it ITA,FW,Fiorentina,25-043,2001,24,11,"1,155",12.8,2,0,2,2,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches
209,Jakub Piotrowski,pl POL,MF,Udinese,28-158,1997,24,15,"1,299",14.4,1,1,2,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,Matches
210,Jacobo Ramón,es ESP,DF,Como,21-064,2005,25,24,"2,157",24,2,0,2,2,0,0,7,1,0.08,0,0.08,0.08,0.08,Matches
211,Giacomo Raspadori,it ITA,MF,Atalanta,26-021,2000,4,2,247,2.7,1,1,2,1,0,0,0,0,0.36,0.36,0.73,0.36,0.73,Matches
212,Marten de Roon,nl NED,MF,Atalanta,34-347,1991,24,22,"1,927",21.4,1,1,2,1,0,0,8,1,0.05,0.05,0.09,0.05,0.09,Matches
