Playing Time,Performance,Per 90 Minutes,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,,,,,,,,,,,
?,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,,,,,,,,,,,,
83,Williot Swedberg,se SWE,"FW,MF",Celta Vigo,22-038,2004,20,9,855,9.5,3,2,5,3,0,0,2,0,0.32,0.21,0.53,0.32,0.53,Matches
84,Carlos Vicente,es ESP,MF,Alavés,26-322,1999,21,11,"1,258",14,5,0,5,2,3,3,1,0,0.36,0,0.36,0.14,0.14,Matches
85,Carles Aleñá,es ESP,MF,Alavés,28-065,1998,27,20,"1,687",18.7,0,4,4,0,0,0,4,0,0,0.21,0.21,0,0.21,Matches
86,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,24-319,2001,19,10,845,9.4,3,1,4,3,0,0,1,0,0.32,0.11,0.43,0.32,0.43,Matches
87,Carlos Álvarez,es ESP,MF,Levante,22-217,2003,26,22,"1,786",19.8,3,1,4,3,0,0,3,0,0.15,0.05,0.2,0.15,0.2,Matches
88,Alex Baena,es ESP,MF,Atlético Madrid,24-234,2001,18,13,979,10.9,2,2,4,2,0,0,3,0,0.18,0.18,0.37,0.18,0.37,Matches
89,Carmona,es ESP,"DF,MF",Sevilla,24-041,2002,25,21,"1,912",21.2,1,3,4,1,0,0,9,0,0.05,0.14,0.19,0.05,0.19,Matches
90,Álvaro Carreras,es ESP,DF,Real Madrid,22-353,2003,23,22,"1,968",21.9,2,2,4,2,0,0,5,1,0.09,0.09,0.18,0.09,0.18,Matches
91,Catena,es ESP,DF,Osasuna,31-134,1994,25,25,"2,204",24.5,2,2,4,2,0,0,8,1,0.08,0.08,0.16,0.08,0.16,Matches
92,Ilyas Chaira,ma MAR,MF,Oviedo,25-037,2001,25,21,"1,637",18.2,3,1,4,3,0,0,1,1,0.16,0.05,0.22,0.16,0.22,Matches
93,Samu Costa,pt POR,MF,Mallorca,25-104,2000,24,21,"1,866",20.7,4,0,4,4,0,0,9,0,0.19,0,0.19,0.19,0.19,Matches
94,Brahim Díaz,ma MAR,"MF,FW",Real Madrid,26-220,1999,19,4,551,6.1,0,4,4,0,0,0,1,0,0,0.65,0.65,0,0.65,Matches
95,Tyrhys Dolan,eng ENG,MF,Espanyol,24-073,2001,26,20,"1,744",19.4,1,3,4,1,0,0,5,1,0.05,0.15,0.21,0.05,0.21,Matches
96,Pablo Durán,es ESP,"FW,MF",Celta Vigo,24-290,2001,20,11,964,10.7,2,2,4,2,0,0,0,0,0.19,0.19,0.37,0.19,0.37,Matches
97,Carlos Espí,es ESP,FW,Levante,20-230,2005,14,2,411,4.6,4,0,4,4,0,0,1,0,0.88,0,0.88,0.88,0.88,Matches
98,Gonzalo García,es ESP,FW,Real Madrid,21-352,2004,22,6,643,7.1,4,0,4,4,0,0,1,0,0.56,0,0.56,0.56,0.56,Matches
99,Jon Gorrotxategi,es ESP,MF,Real Sociedad,24-037,2002,24,21,"1,863",20.7,1,3,4,1,0,0,7,0,0.05,0.14,0.19,0.05,0.19,Matches
100,Javier Guerra,es ESP,MF,Valencia,23-069,2003,26,16,"1,336",14.8,1,3,4,1,0,0,3,0,0.07,0.2,0.27,0.07,0.27,Matches
101,Mateo Joseph,es ESP,"FW,MF",Mallorca,22-143,2003,26,17,"1,498",16.6,2,2,4,2,0,0,2,0,0.12,0.12,0.24,0.12,0.24,Matches
102,Koke,es ESP,MF,Atlético Madrid,34-062,1992,25,16,"1,545",17.2,2,2,4,2,0,0,4,0,0.12,0.12,0.23,0.12,0.23,Matches
103,Jules Koundé,fr FRA,DF,Barcelona,27-119,1998,25,20,"1,903",21.1,1,3,4,1,0,0,4,0,0.05,0.14,0.19,0.05,0.19,Matches
104,Marcos Llorente,es ESP,"DF,MF",Atlético Madrid,31-040,1995,23,20,"1,753",19.5,0,4,4,0,0,0,4,0,0,0.21,0.21,0,0.21,Matches
105,Giovani Lo Celso,ar ARG,MF,Real Betis,29-336,1996,17,11,"1,094",12.2,2,2,4,2,0,0,3,0,0.16,0.16,0.33,0.16,0.33,Matches
106,Óscar Mingueza,es ESP,"MF,DF",Celta Vigo,26-302,1999,23,16,"1,427",15.9,1,3,4,1,0,0,3,0,0.06,0.19,0.25,0.06,0.25,Matches
107,Jon Moncayola,es ESP,MF,Osasuna,27-302,1998,25,24,"2,089",23.2,0,4,4,0,0,0,6,0,0,0.17,0.17,0,0.17,Matches
108,Rodrygo,br BRA,"MF,FW",Real Madrid,25-061,2001,19,6,684,7.6,1,3,4,1,0,0,3,0,0.13,0.39,0.53,0.13,0.53,Matches
109,Isaac Romero,es ESP,FW,Sevilla,25-297,2000,20,12,"1,028",11.4,4,0,4,4,0,1,5,1,0.35,0,0.35,0.35,0.35,Matches
110,Alexis Sánchez,cl CHI,"FW,MF",Sevilla,37-082,1988,19,8,930,10.3,3,1,4,2,1,1,1,0,0.29,0.1,0.39,0.19,0.29,Matches
111,Orri Steinn Óskarsson,is ISL,FW,Real Sociedad,21-194,2004,10,2,268,3,4,0,4,4,0,0,1,0,1.34,0,1.34,1.34,1.34,Matches
112,Jeremy Toljan,de GER,DF,Levante,31-215,1994,26,26,"2,242",24.9,1,3,4,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,Matches
113,Jan Virgili,es ESP,"MF,FW",Mallorca,19-228,2006,22,17,"1,445",16.1,0,4,4,0,0,0,0,1,0,0.25,0.25,0,0.25,Matches
114,Iñaki Williams,gh GHA,"MF,FW",Athletic Club,31-269,1994,19,15,"1,322",14.7,2,2,4,1,1,1,1,0,0.14,0.14,0.27,0.07,0.2,Matches
115,Lucien Agoume,fr FRA,MF,Sevilla,24-030,2002,24,22,"1,935",21.5,1,2,3,1,0,0,9,0,0.05,0.09,0.14,0.05,0.14,Matches
116,Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,22-252,2003,18,8,811,9,2,1,3,2,0,0,2,0,0.22,0.11,0.33,0.22,0.33,Matches
117,Cédric Bakambu,cd COD,FW,Real Betis,34-334,1991,13,4,394,4.4,3,0,3,3,0,0,0,0,0.69,0,0.69,0.69,0.69,Matches
118,Lucas Beltrán,ar ARG,FW,Valencia,24-347,2001,21,13,"1,098",12.2,1,2,3,1,0,0,0,0,0.08,0.16,0.25,0.08,0.25,Matches
119,Yuri Berchiche,es ESP,DF,Athletic Club,36-029,1990,23,22,"1,933",21.5,0,3,3,0,0,0,3,0,0,0.14,0.14,0,0.14,Matches
120,Marc Bernal,es ESP,MF,Barcelona,18-289,2007,14,4,383,4.3,2,1,3,2,0,0,3,0,0.47,0.23,0.7,0.47,0.7,Matches
121,Leandro Cabrera,uy URU,DF,Espanyol,34-267,1991,26,26,"2,340",26,3,0,3,3,0,0,2,0,0.12,0,0.12,0.12,0.12,Matches
122,Sergi Cardona,es ESP,DF,Villarreal,26-246,1999,22,15,"1,486",16.5,0,3,3,0,0,0,3,0,0,0.18,0.18,0,0.18,Matches
123,Sergio Carreira,es ESP,MF,Celta Vigo,25-149,2000,23,20,"1,824",20.3,2,1,3,2,0,0,2,0,0.1,0.05,0.15,0.1,0.15,Matches
124,Pep Chavarría,es ESP,DF,Rayo Vallecano,27-335,1998,24,22,"2,015",22.4,1,2,3,1,0,0,6,1,0.04,0.09,0.13,0.04,0.13,Matches
125,Karl Etta Eyong,cm CMR,FW,Villarreal,22-148,2003,3,3,256,2.8,1,2,3,1,0,0,0,0,0.35,0.7,1.05,0.35,1.05,Matches
126,Aleix Febas,es ESP,MF,Elche,30-037,1996,26,26,"2,305",25.6,2,1,3,2,0,0,7,0,0.08,0.04,0.12,0.08,0.12,Matches
127,Héctor Fort,es ESP,"DF,MF",Elche,19-221,2006,9,5,327,3.6,1,2,3,1,0,0,0,0,0.28,0.55,0.83,0.28,0.83,Matches
128,Bryan Gil,es ESP,MF,Girona,25-028,2001,23,17,"1,349",15,0,3,3,0,0,0,4,0,0,0.2,0.2,0,0.2,Matches
