"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
11;"Jonathan Burkardt";"Eintracht Frankfurt";13;898;9;0;9.56;0.22;0.96;0.02
12;"Ermedin Demirovic";"VfB Stuttgart";16;1107;8;2;5.7;1.61;0.46;0.13
13;"Maximilian Beier";"Borussia Dortmund";23;1387;8;4;6.4;2.8;0.42;0.18
14;"Fisnik Asllani";"Hoffenheim";24;1753;8;5;7.45;4.22;0.38;0.22
15;"Mohammed Amoura";"Wolfsburg";22;1464;8;3;7.92;3.76;0.49;0.23
16;"Said El Mala";"FC Cologne";25;1225;8;3;7.68;1.86;0.56;0.14
17;"Patrik Schick";"Bayer Leverkusen";19;1327;7;2;10.16;2.28;0.69;0.15
18;"Vincenzo Grifo";"Freiburg";25;1289;7;1;5.15;4.08;0.36;0.29
19;"Tim Lemperle";"Hoffenheim";20;1341;7;2;6.68;2.12;0.45;0.14
20;"Jamie Leweling";"VfB Stuttgart";24;1766;7;6;3.66;4.19;0.19;0.21
21;"Jens Stage";"Werder Bremen";23;1989;7;2;4.53;3.19;0.2;0.14
22;"Rômulo";"RasenBallsport Leipzig";21;1620;7;4;11.29;3.4;0.63;0.19
23;"Julian Brandt";"Borussia Dortmund";20;1210;6;3;4.3;3.35;0.32;0.25
24;"Serge Gnabry";"Bayern Munich";19;1125;6;6;5.22;4.77;0.42;0.38
25;"Grischa Prömel";"Hoffenheim";25;1329;6;2;4.38;2;0.3;0.14
26;"Jakub Kaminski";"FC Cologne";25;2233;6;2;4.47;4.14;0.18;0.17
27;"Álex Grimaldo";"Bayer Leverkusen";21;1819;6;4;5;5.66;0.25;0.28
28;"Igor Matanovic";"Freiburg";22;910;6;1;6.44;0.99;0.64;0.1
29;"Can Uzun";"Eintracht Frankfurt";14;817;6;3;2.73;2.26;0.3;0.25
30;"Rani Khedira";"Union Berlin";24;2134;5;0;2.1;1.62;0.09;0.07
31;"Rayan Philippe";"Hamburger SV";22;1081;5;0;5.1;1.16;0.42;0.1
32;"Ragnar Ache";"FC Cologne";24;1370;5;3;7.75;2.53;0.51;0.17
33;"Karim Adeyemi";"Borussia Dortmund";23;1035;5;3;3.59;2.81;0.31;0.24
34;"Dzenan Pejcinovic";"Wolfsburg";22;910;5;0;5.15;0.52;0.51;0.05
35;"Stefan Schimmer";"FC Heidenheim";20;612;5;1;4.86;1.65;0.71;0.24
36;"Luka Vuskovic";"Hamburger SV";22;1980;5;0;4.48;0.41;0.2;0.02
37;"Christian Kofane";"Bayer Leverkusen";22;956;5;3;6.48;1.77;0.61;0.17
38;"Ernest Poku";"Bayer Leverkusen";23;1300;5;4;3.56;2.37;0.25;0.16
39;"Ilyas Ansah";"Union Berlin";25;1565;5;1;3.13;1.31;0.18;0.08
40;"Maximilian Mittelstädt";"VfB Stuttgart";23;1603;4;3;3.44;4;0.19;0.22
41;"Kevin Diks";"Borussia M.Gladbach";22;1867;4;0;3.99;0.53;0.19;0.03
42;"Oliver Burke";"Union Berlin";22;1105;4;1;4.22;1.63;0.34;0.13
43;"Martin Terrier";"Bayer Leverkusen";16;609;4;1;3.2;1.1;0.47;0.16
44;"Alexis Claude Maurice";"Augsburg";21;1557;4;4;4.57;2.27;0.26;0.13
45;"Chris Führich";"VfB Stuttgart";24;1085;4;4;1.85;4.9;0.15;0.41
46;"Ozan Kabak";"Hoffenheim";16;921;4;0;3.09;0.22;0.3;0.02
47;"Nico Schlotterbeck";"Borussia Dortmund";19;1710;4;1;3.05;0.82;0.16;0.04
48;"Edmond Tapsoba";"Bayer Leverkusen";21;1859;4;2;3.24;0.92;0.16;0.04
49;"Ritsu Doan";"Eintracht Frankfurt";25;1971;4;5;3.4;5.55;0.16;0.25
50;"Ansgar Knauff";"Eintracht Frankfurt";20;992;4;1;3.33;2.61;0.3;0.24
51;"Albert Sambi Lokonga";"Hamburger SV";19;1189;4;0;1.02;1.15;0.08;0.09
52;"Malik Tillman";"Bayer Leverkusen";20;1386;4;1;3.5;2.98;0.23;0.19
53;"Nicolas Jackson";"Bayern Munich";16;523;4;0;4.39;1.13;0.76;0.19
54;"Justin Njinmah";"Werder Bremen";24;1333;4;0;5.01;0.9;0.34;0.06
55;"Danilho Doekhi";"Union Berlin";25;2250;4;0;3.4;0.52;0.14;0.02
56;"Derry Scherhant";"Freiburg";22;714;4;1;2.3;1.31;0.29;0.16
57;"Fábio Vieira";"Hamburger SV";20;1462;4;4;3.89;3.08;0.24;0.19
58;"Yuito Suzuki";"Freiburg";20;1334;4;2;3.5;1.66;0.24;0.11
59;"Danel Sinani";"St. Pauli";22;1491;4;3;4.44;2.67;0.27;0.16
60;"Lennart Karl";"Bayern Munich";21;976;4;3;5.23;2.27;0.48;0.21
61;"Wouter Burger";"Hoffenheim";22;1790;4;5;2.66;5.16;0.13;0.26
62;"Andréas Hountondji";"St. Pauli";12;628;4;0;2.8;0.18;0.4;0.03
63;"Ransford Königsdörffer";"Hamburger SV";25;1766;4;0;6.81;0.99;0.35;0.05
64;"Michael Gregoritsch";"Augsburg";9;416;3;1;2.18;0.25;0.47;0.05
65;"Gian-Luca Waldschmidt";"FC Cologne";17;480;3;3;3.7;2.13;0.69;0.4
66;"Emre Can";"Borussia Dortmund";9;627;3;0;2.36;0;0.34;0
67;"Raphael Guerreiro";"Bayern Munich";12;447;3;2;1.84;1.34;0.37;0.27
68;"Jean-Luc Dompe";"Hamburger SV";18;1110;3;0;2.18;3.58;0.18;0.29
69;"Konrad Laimer";"Bayern Munich";20;1431;3;4;2.76;3.19;0.17;0.2
70;"Robin Koch";"Eintracht Frankfurt";24;2137;3;0;1.76;0.19;0.07;0.01
71;"Mattias Svanberg";"Wolfsburg";20;708;3;1;2.22;0.85;0.28;0.11
72;"Marius Bülter";"FC Cologne";23;1175;3;3;3.31;3.93;0.25;0.3
73;"Arnaud Kalimuendo Muinga";"Eintracht Frankfurt";10;681;3;1;3.05;0.8;0.4;0.11
74;"Jan Thielmann";"FC Cologne";19;1325;3;1;1.8;0.52;0.12;0.04
75;"David Raum";"RasenBallsport Leipzig";24;2130;3;5;2.28;8.92;0.1;0.38
76;"Patrick Wimmer";"Wolfsburg";17;1198;3;3;2.47;0.64;0.19;0.05
77;"Jae-Sung Lee";"Mainz 05";23;1950;3;2;3.01;3.21;0.14;0.15
78;"Jarell Quansah";"Bayer Leverkusen";21;1693;3;0;1.75;0.83;0.09;0.04
79;"Tiago Tomás";"VfB Stuttgart";18;691;3;2;3.64;1.16;0.47;0.15
80;"Jean Négoce";"Eintracht Frankfurt";22;1098;3;3;1.87;3.09;0.15;0.25
81;"Aleksandar Pavlovic";"Bayern Munich";20;1255;3;1;1.48;1.64;0.11;0.12
82;"Jovan Milosevic";"Werder Bremen";8;282;3;0;2.1;0.02;0.67;0.01
83;"Fabian Rieder";"Augsburg";23;1577;3;3;2.57;3.56;0.15;0.2
84;"Samuel Mbangula";"Werder Bremen";20;990;3;2;1.7;1.04;0.15;0.09
85;"Marco Grüll";"Werder Bremen";25;1663;3;1;3.58;1.74;0.19;0.09
86;"Alexander Prass";"Hoffenheim";23;914;3;2;1.58;1.93;0.16;0.19
87;"Shuto Machino";"Borussia M.Gladbach";24;833;3;0;3.53;1.03;0.38;0.11
88;"Bilal El Khannouss";"VfB Stuttgart";18;1285;3;3;1.75;4.02;0.12;0.28
89;"Johan Manzambi";"Freiburg";19;1498;3;2;1.72;1.97;0.1;0.12
90;"Nathaniel Brown";"Eintracht Frankfurt";24;1899;3;4;1.59;2.79;0.08;0.13
91;"Assan Ouédraogo";"RasenBallsport Leipzig";12;632;3;3;2.19;2.72;0.31;0.39
92;"Julian Niehues";"FC Heidenheim";19;1141;3;0;2.05;0.6;0.16;0.05
93;"Martijn Kaars";"St. Pauli";20;987;3;0;3.01;0.32;0.27;0.03
94;"Stefan Bell";"Mainz 05";18;1044;2;1;1.84;1.2;0.16;0.1
95;"Waldemar Anton";"Borussia Dortmund";23;2070;2;0;1.22;0.2;0.05;0.01
96;"Maximilian Eggestein";"Freiburg";25;2250;2;0;2.86;1.34;0.11;0.05
97;"Jonathan Tah";"Bayern Munich";21;1679;2;1;0.66;0.59;0.04;0.03
98;"Mahmoud Dahoud";"Eintracht Frankfurt";13;636;2;2;0.76;0.26;0.11;0.04
99;"Joshua Kimmich";"Bayern Munich";21;1627;2;6;2.03;5.86;0.11;0.32
100;"Danny da Costa";"Mainz 05";25;2014;2;3;2.26;2.8;0.1;0.12
101;"Matthias Ginter";"Freiburg";24;2160;2;2;1.26;1.77;0.05;0.07
102;"Jonas Hofmann";"Bayer Leverkusen";20;954;2;2;2.15;2.04;0.2;0.19
103;"Leon Goretzka";"Bayern Munich";22;1338;2;1;1.58;1.88;0.11;0.13
104;"Christian Eriksen";"Wolfsburg";22;1676;2;5;3.11;4.1;0.17;0.22
105;"Silvan Widmer";"Mainz 05";19;1361;2;0;2.53;0.83;0.17;0.05
106;"Ramy Bensebaini";"Borussia Dortmund";16;1164;2;0;1.07;0.23;0.08;0.02
107;"Lukas Kübler";"Freiburg";16;1234;2;1;2.63;0.91;0.19;0.07
108;"Hauke Wahl";"St. Pauli";21;1846;2;0;0.38;0.1;0.02;0
109;"Nikolas Nartey";"VfB Stuttgart";21;876;2;1;2.97;2.44;0.3;0.25
110;"Elvis Rexhbecaj";"Augsburg";22;980;2;0;0.52;0.71;0.05;0.06
111;"Linton Maina";"FC Cologne";15;620;2;0;1.05;0.62;0.15;0.09
112;"Han-Noah Massengo";"Augsburg";25;2059;2;1;1.61;1.59;0.07;0.07
113;"Woo-Yeong Jeong";"Union Berlin";23;1013;2;1;1.69;0.43;0.15;0.04
114;"Xaver Schlager";"RasenBallsport Leipzig";19;1302;2;1;1.5;1.98;0.1;0.14
115;"Romano Schmid";"Werder Bremen";25;2209;2;7;6.13;9;0.25;0.37
116;"Felix Nmecha";"Borussia Dortmund";25;1928;2;3;1.95;1.8;0.09;0.08
117;"Armindo Sieb";"Mainz 05";16;417;2;0;2.71;0.49;0.59;0.11
118;"Carney Chukwuemeka";"Borussia Dortmund";20;626;2;0;2.3;0.58;0.33;0.08
119;"Josip Stanisic";"Bayern Munich";17;1244;2;3;0.99;1.78;0.07;0.13
120;"Dimitris Giannoulis";"Augsburg";19;1356;2;3;0.93;2.86;0.06;0.19
121;"Lovro Majer";"Wolfsburg";23;1294;2;3;3.23;2.54;0.22;0.18
122;"Anton Kade";"Augsburg";19;1056;2;0;3.12;1.85;0.27;0.16
123;"Yannick Engelhardt";"Borussia M.Gladbach";22;1723;2;1;1.85;0.75;0.1;0.04
124;"Rasmus Kristensen";"Eintracht Frankfurt";19;1438;2;0;1.1;1.38;0.07;0.09
125;"Farès Chaïbi";"Eintracht Frankfurt";19;1321;2;8;1.94;3.09;0.13;0.21
126;"Aaron Zehnter";"Wolfsburg";17;1219;2;0;0.98;1.05;0.07;0.08
127;"Ibrahim Maza";"Bayer Leverkusen";19;1115;2;3;2.58;3.25;0.21;0.26
128;"Mert Kömür";"Augsburg";22;1296;2;3;4.03;2.4;0.28;0.17
129;"Phillip Tietz";"Augsburg,Mainz 05";20;1042;2;1;6.6;0.62;0.57;0.05
130;"Marvin Pieringer";"FC Heidenheim";19;1094;2;0;2.66;1.24;0.22;0.1
131;"Rodrigo Ribeiro";"Augsburg";5;303;2;0;2.67;0.03;0.79;0.01
132;"Max Moerstedt";"Hoffenheim";17;312;2;0;1.19;0.67;0.34;0.19
133;"Leopold Querfeld";"Union Berlin";25;2250;2;0;3.53;2.04;0.14;0.08
134;"Antonio Nusa";"RasenBallsport Leipzig";22;1550;2;2;4.72;4.12;0.27;0.24
135;"Eric Smith";"St. Pauli";22;1934;2;2;0.69;0.58;0.03;0.03
136;"Luca Kerber";"FC Heidenheim";12;482;2;0;1.1;0.15;0.21;0.03
137;"Sirlord Conteh";"FC Heidenheim";13;533;2;1;3.18;0.54;0.54;0.09
138;"Daniel Svensson";"Borussia Dortmund";25;1958;2;2;1.88;3.18;0.09;0.15
139;"Bazoumana Touré";"Hoffenheim";21;1648;2;6;3.77;4.95;0.21;0.27
140;"Marin Ljubicic";"Union Berlin";2;11;2;0;1.51;0;12.32;0
141;"Johan Bakayoko";"RasenBallsport Leipzig";15;709;2;0;1.77;0.98;0.22;0.12
142;"Robin Fellhauer";"Augsburg";25;2062;2;1;1.47;1.47;0.06;0.06
143;"Conrad Harder";"RasenBallsport Leipzig";22;724;2;3;3.69;2.37;0.46;0.29
144;"Adam Daghim";"Wolfsburg";19;1002;2;2;1.38;2.48;0.12;0.22
145;"Ricky-Jade Jones";"St. Pauli";8;332;2;0;2.84;0.78;0.77;0.21
146;"Ayoube Amaimouni-Echghouyab";"Eintracht Frankfurt";9;200;2;1;0.26;0.13;0.12;0.06
147;"Yannick Gerhardt";"Wolfsburg";14;1027;1;0;1.07;0.38;0.09;0.03
148;"Maximilian Arnold";"Wolfsburg";21;1807;1;4;0.29;4.22;0.01;0.21
149;"Dominik Kohr";"Mainz 05";20;1689;1;0;1.24;1.52;0.07;0.08
150;"Aleix García";"Bayer Leverkusen";25;2045;1;5;1.82;3.86;0.08;0.17
151;"Michy Batshuayi";"Eintracht Frankfurt";6;123;1;0;1.01;0.19;0.74;0.14
152;"Lucas Vázquez";"Bayer Leverkusen";9;398;1;2;0.84;1.97;0.19;0.45
153;"Marius Wolf";"Augsburg";21;649;1;0;1.63;1.31;0.23;0.18
154;"Florian Kainz";"FC Cologne";11;216;1;0;0.91;0.21;0.38;0.09
155;"Dayotchanculle Upamecano";"Bayern Munich";20;1522;1;1;0.83;1.12;0.05;0.07
156;"Marcel Sabitzer";"Borussia Dortmund";18;1194;1;2;1.01;1.7;0.08;0.13
157;"Yussuf Poulsen";"Hamburger SV";12;263;1;0;0.69;0.28;0.24;0.1
158;"Willi Orban";"RasenBallsport Leipzig";25;2232;1;0;3.05;0.54;0.12;0.02
159;"Marco Friedl";"Werder Bremen";23;2035;1;0;0.73;0.29;0.03;0.01
160;"Jonas Föhrenbach";"FC Heidenheim";19;1660;1;1;0.57;2.23;0.03;0.12
161;"Stanley N&#039;Soki";"Union Berlin";10;627;1;1;0.13;0.14;0.02;0.02
162;"Lucas Höler";"Freiburg";24;1481;1;1;3.11;1.35;0.19;0.08
163;"Joshua Vagnoman";"VfB Stuttgart";21;1422;1;3;3.56;2.12;0.23;0.13
164;"Bote Baku";"RasenBallsport Leipzig";23;1819;1;3;1.93;4.05;0.1;0.2
165;"Andras Schafer";"Union Berlin";21;989;1;0;1.26;0.2;0.11;0.02
166;"Valentin Gendrey";"Hoffenheim";8;38;1;1;0.35;0.73;0.82;1.72
167;"Pereira Lage";"St. Pauli";23;1648;1;2;4.07;1.56;0.22;0.09
168;"Robert Andrich";"Bayer Leverkusen";24;1858;1;0;0.51;0.34;0.02;0.02
169;"Sheraldo Becker";"Mainz 05";5;242;1;0;0.88;1.46;0.33;0.54
170;"Andreas Skov Olsen";"Wolfsburg";8;365;1;0;0.2;0.89;0.05;0.22
171;"Denis Vavro";"Wolfsburg";10;548;1;0;1.22;0.08;0.2;0.01
172;"Jamal Musiala";"Bayern Munich";8;278;1;2;1.79;0.48;0.58;0.16
173;"Chrislain Matsima";"Augsburg";14;1260;1;1;0.53;0.58;0.04;0.04
174;"Fabio Silva";"Borussia Dortmund";19;552;1;5;1.39;2.15;0.23;0.35
175;"Silas Wamangituka";"Mainz 05";8;346;1;0;2.33;0.19;0.61;0.05
176;"Paul Nebel";"Mainz 05";21;1312;1;1;2.72;3.58;0.19;0.25
177;"Vladimir Coufal";"Hoffenheim";25;2248;1;6;0.71;5.3;0.03;0.21
178;"Eric Martel";"FC Cologne";24;1953;1;2;0.79;1.99;0.04;0.09
179;"Eren Sami Dinkci";"FC Heidenheim,Freiburg";14;699;1;1;1.34;0.47;0.17;0.06
180;"Robert Glatzel";"Hamburger SV";14;267;1;1;1.26;0.78;0.42;0.26
181;"Castello Lukeba";"RasenBallsport Leipzig";20;1716;1;0;0.88;0.24;0.05;0.01
182;"Joe Scally";"Borussia M.Gladbach";23;1822;1;2;2.5;1.15;0.12;0.06
183;"Patrick Osterhage";"Freiburg";19;1189;1;0;1.28;0.33;0.1;0.03
184;"Hiroki Ito";"Bayern Munich";10;475;1;2;1.46;0.6;0.28;0.11
185;"Angelo Stiller";"VfB Stuttgart";25;1964;1;5;2.38;3.96;0.11;0.18
186;"Moritz Jenz";"Wolfsburg";17;1523;1;0;0.66;0.07;0.04;0
187;"Kristijan Jakic";"Augsburg";20;1396;1;1;0.62;1.24;0.04;0.08
188;"Arthur Theate";"Eintracht Frankfurt";19;1705;1;0;1.01;0.43;0.05;0.02
189;"Arijon Ibrahimovic";"FC Heidenheim";24;1791;1;2;4.98;3.96;0.25;0.2
190;"Tom Rothe";"Union Berlin";12;524;1;0;1.24;0.53;0.21;0.09
191;"Oscar Fraulo";"Borussia M.Gladbach";4;30;1;0;0.74;0;2.21;0
192;"Tim Skarke";"Union Berlin";15;365;1;0;0.83;0.23;0.2;0.06
193;"Yan Couto";"Borussia Dortmund";16;979;1;2;0.56;2.85;0.05;0.26
194;"Kim Min-Jae";"Bayern Munich";17;1050;1;1;0.55;0.33;0.05;0.03
195;"Brajan Gruda";"RasenBallsport Leipzig";5;398;1;1;0.89;1.46;0.2;0.33
196;"Keke Maximilian Topp";"Werder Bremen";19;569;1;1;1.87;0.82;0.3;0.13
197;"Grant-Leon Ranos";"Borussia M.Gladbach";8;89;1;0;0.53;0.08;0.54;0.08
