"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
267;"Marvin Schwäbe";"FC Cologne";25;2250;0;0;0;0.36;0;0.01
268;"Anthony Jung";"Freiburg";10;473;0;0;0.04;0.22;0.01;0.04
269;"Bakery Jatta";"Hamburger SV";11;705;0;1;0.62;0.23;0.08;0.03
270;"Jordan Torunarigha";"Hamburger SV";16;1257;0;0;0.08;0.07;0.01;0
271;"Péter Gulácsi";"RasenBallsport Leipzig";22;1918;0;0;0;0;0;0
272;"Bernardo";"Hoffenheim";20;1696;0;0;0.3;0.28;0.02;0.01
273;"Daniel Heuer Fernandes";"Hamburger SV";25;2250;0;0;0.13;0;0.01;0
274;"Gregor Kobel";"Borussia Dortmund";25;2250;0;0;0;0;0;0
275;"Salih Özcan";"Borussia Dortmund";7;19;0;0;0.14;0;0.64;0
276;"Arne Maier";"Augsburg";1;1;0;0;0;0;0;0
277;"Stefan Posch";"Mainz 05";7;630;0;0;0.09;0.26;0.01;0.04
278;"Jonas Meffert";"Hamburger SV";4;134;0;0;0;0.13;0;0.09
279;"Lukas Klostermann";"RasenBallsport Leipzig";4;4;0;0;0.04;0.03;0.98;0.77
280;"Arnaud Nordin";"Mainz 05";13;468;0;0;0.72;0.14;0.14;0.03
281;"Dan-Axel Zagadou";"VfB Stuttgart";2;168;0;0;0.26;0.09;0.14;0.05
282;"Tim Kleindienst";"Borussia M.Gladbach";2;2;0;0;0;0;0;0
283;"Ihlas Bebou";"Hoffenheim";14;118;0;0;0.64;0.97;0.49;0.74
284;"Moritz Nicolas";"Borussia M.Gladbach";25;2250;0;0;0;0.35;0;0.01
285;"Kevin Akpoguma";"Hoffenheim";5;31;0;0;0;0;0;0
286;"Robin Hack";"Borussia M.Gladbach";4;247;0;0;0.41;0.78;0.15;0.28
287;"Anthony Caci";"Mainz 05";4;323;0;0;0.23;0.38;0.06;0.11
288;"Timo Hübers";"FC Cologne";8;681;0;0;0;0;0;0
289;"Niklas Dorsch";"FC Heidenheim";23;1624;0;0;0.53;1.62;0.03;0.09
290;"Finn Dahmen";"Augsburg";25;2250;0;0;0.66;0.23;0.03;0.01
291;"Mark Flekken";"Bayer Leverkusen";17;1502;0;0;0;0.07;0;0
292;"Frederik Rönnow";"Union Berlin";25;2250;0;0;0;0.02;0;0
293;"Kevin Stöger";"Borussia M.Gladbach";20;766;0;1;1.56;1.69;0.18;0.2
294;"Florian Neuhaus";"Borussia M.Gladbach";15;907;0;1;1.02;0.92;0.1;0.09
295;"Philipp Mwene";"Mainz 05";20;1385;0;0;0.88;0.67;0.06;0.04
296;"Amos Pieper";"Werder Bremen";12;963;0;0;0.39;0.07;0.04;0.01
297;"Alphonso Davies";"Bayern Munich";8;354;0;1;0.1;0.25;0.03;0.06
298;"Keven Schlotterbeck";"Augsburg";20;1743;0;1;1.3;0.95;0.07;0.05
299;"Sacha Boey";"Bayern Munich";9;458;0;0;0.39;0.18;0.08;0.04
300;"Mads Pedersen";"Augsburg";6;156;0;0;0.11;0.1;0.07;0.06
301;"Robert Skov";"Union Berlin";3;236;0;0;0.03;0.08;0.01;0.03
302;"Christopher Trimmel";"Union Berlin";22;1410;0;2;0.04;3.12;0;0.2
303;"Julian Chabot";"VfB Stuttgart";20;1709;0;0;1.04;0.19;0.05;0.01
304;"Julian Ryerson";"Borussia Dortmund";22;1499;0;11;0.54;6.47;0.03;0.39
