"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
72;"Nico O&#039;Reilly";"Manchester City";27;2041;4;3;4.27;2.77;0.19;0.12
73;"Noah Okafor";"Leeds";23;1298;4;0;4.76;1.31;0.33;0.09
74;"Virgil van Dijk";"Liverpool";29;2610;3;0;3.4;0.22;0.12;0.01
75;"Michael Keane";"Everton";25;1955;3;0;3.26;0.1;0.15;0
76;"Dominic Solanke";"Tottenham";10;590;3;0;2.32;0.21;0.35;0.03
77;"Gabriel";"Arsenal";24;2077;3;4;3.19;2.65;0.14;0.11
78;"Jacob Murphy";"Newcastle United";24;1142;3;1;2.91;4.06;0.23;0.32
79;"Callum Hudson-Odoi";"Nottingham Forest";27;1645;3;2;2.8;3.25;0.15;0.18
80;"Trevoh Chalobah";"Chelsea";28;2470;3;0;1.37;0.61;0.05;0.02
81;"Samuel Chukwueze";"Fulham";15;725;3;4;1.55;2.57;0.19;0.32
82;"Emile Smith-Rowe";"Fulham";29;1445;3;0;3.57;1.14;0.22;0.07
83;"Lyle Foster";"Burnley";21;1170;3;1;3.29;0.85;0.25;0.07
84;"John McGinn";"Aston Villa";22;1663;3;2;2.39;2;0.13;0.11
85;"Mason Mount";"Manchester United";17;827;3;0;1.71;1.38;0.19;0.15
86;"Mathis Cherki";"Manchester City";24;1287;3;8;2.38;7.58;0.17;0.53
87;"Amine Adli";"Bournemouth";25;899;3;1;3.47;1.19;0.35;0.12
88;"Mikkel Damsgaard";"Brentford";25;1524;3;4;1.93;5.24;0.11;0.31
89;"Matthew Cash";"Aston Villa";27;2376;3;2;1.11;2.84;0.04;0.11
90;"Chimuanya Ugochukwu";"Burnley";28;1943;3;1;2.46;0.4;0.11;0.02
91;"Moisés Caicedo";"Chelsea";24;2045;3;1;1.3;2.01;0.06;0.09
92;"Mathys Tel";"Tottenham";22;740;3;0;2.04;0.71;0.25;0.09
93;"João Palhinha";"Tottenham";26;1775;3;2;1.44;0.64;0.07;0.03
94;"Jan Paul van Hecke";"Brighton";27;2404;3;2;2.5;0.84;0.09;0.03
95;"Keane Lewis-Potter";"Brentford";27;1139;3;1;1.95;1.44;0.15;0.11
96;"Yasin Ayari";"Brighton";22;1711;3;2;1.94;1;0.1;0.05
97;"Jurriën Timber";"Arsenal";29;2438;3;5;4.03;2.59;0.15;0.1
98;"Patrick Dorgu";"Manchester United";22;1327;3;3;2.08;2.65;0.14;0.18
99;"Daniel Muñoz";"Crystal Palace";21;1786;3;2;2.12;3.84;0.11;0.19
100;"Rodrigo Gomes";"Wolverhampton Wanderers";14;585;3;0;1.76;0.15;0.27;0.02
101;"Mateus Fernandes";"West Ham";27;2237;3;3;1.05;2.46;0.04;0.1
102;"Chemsdine Talbi";"Sunderland";21;1153;3;1;1.37;0.46;0.11;0.04
103;"Joelinton";"Newcastle United";22;1582;2;1;1.89;1.79;0.11;0.1
104;"Idrissa Gueye";"Everton";20;1684;2;1;1.69;1.02;0.09;0.05
105;"Jack Grealish";"Everton";20;1645;2;6;3.08;4.56;0.17;0.25
106;"Josh Cullen";"Burnley";18;1533;2;2;1.01;1.82;0.06;0.11
107;"Federico Chiesa";"Liverpool";21;204;2;1;1.48;1.32;0.65;0.58
108;"Chris Wood";"Nottingham Forest";8;560;2;0;2.07;0.17;0.33;0.03
109;"Alexander Isak";"Liverpool";10;519;2;1;2.77;0.85;0.48;0.15
110;"Gabriel Jesus";"Arsenal";11;283;2;0;2.59;0.08;0.83;0.03
111;"Ibrahim Sangare";"Nottingham Forest";21;1614;2;2;1.57;1.24;0.09;0.07
112;"Joe Rodon";"Leeds";27;2370;2;0;1.54;0.27;0.06;0.01
113;"Eddie Nketiah";"Crystal Palace";12;396;2;0;1.94;0.96;0.44;0.22
114;"Ryan Sessegnon";"Fulham";22;1619;2;1;1.43;2.16;0.08;0.12
115;"Georginio Rutter";"Brighton";24;1621;2;2;2.45;3.45;0.14;0.19
116;"Justin Kluivert";"Bournemouth";18;909;2;0;2.2;2.29;0.22;0.23
117;"Mathias Jensen";"Brentford";27;1475;2;1;1.31;3.73;0.08;0.23
118;"Tyler Adams";"Bournemouth";18;1447;2;1;0.84;0.1;0.05;0.01
119;"James Garner";"Everton";29;2607;2;5;1.9;5.18;0.07;0.18
120;"Marc Guehi";"Crystal Palace,Manchester City";27;2430;2;2;3.58;2.41;0.13;0.09
121;"Joshua Zirkzee";"Manchester United";18;482;2;1;3.41;1.17;0.64;0.22
122;"Reece James";"Chelsea";26;1777;2;4;1.08;3.53;0.05;0.18
123;"Amad Diallo Traore";"Manchester United";23;1740;2;2;4.56;4.05;0.24;0.21
124;"Alexis Mac Allister";"Liverpool";28;2029;2;2;3.35;1.67;0.15;0.07
125;"Hee-Chan Hwang";"Wolverhampton Wanderers";20;1175;2;1;2.44;1.05;0.19;0.08
126;"Tolu Arokodare";"Wolverhampton Wanderers";26;1193;2;1;5.13;1.1;0.39;0.08
127;"Jacob Ramsey";"Newcastle United";19;876;2;1;0.95;0.59;0.1;0.06
128;"Rúben Dias";"Manchester City";25;2052;2;0;0.44;0.41;0.02;0.02
129;"Malo Gusto";"Chelsea";26;1675;2;3;1.87;2.77;0.1;0.15
130;"Pape Sarr";"Tottenham";20;1110;2;3;1.84;1.33;0.15;0.11
131;"Yeremi Pino";"Crystal Palace";26;1760;2;1;3.99;5.98;0.2;0.31
132;"Elliot Anderson";"Nottingham Forest";29;2600;2;2;2.42;2.85;0.08;0.1
133;"William Osula";"Newcastle United";16;215;2;0;0.87;0.06;0.37;0.03
134;"Amadou Onana";"Aston Villa";20;1419;2;0;1.81;0.36;0.11;0.02
135;"Habib Diarra";"Sunderland";12;939;2;0;2.09;0.16;0.2;0.02
136;"Josko Gvardiol";"Manchester City";16;1307;2;2;1.82;0.44;0.13;0.03
137;"Archie Gray";"Tottenham";19;1223;2;2;1.44;1.54;0.11;0.11
138;"Brennan Johnson";"Crystal Palace,Tottenham";26;1125;2;1;1.92;0.91;0.15;0.07
139;"Kaoru Mitoma";"Brighton";19;1415;2;1;3.29;3.05;0.21;0.19
140;"Santiago Bueno";"Wolverhampton Wanderers";21;1829;2;1;0.94;0.3;0.05;0.01
141;"Valentín Castellanos";"West Ham";9;760;2;0;3.45;0.57;0.41;0.07
142;"Mohammed Kudus";"Tottenham";19;1577;2;5;2.36;2.57;0.13;0.15
143;"Alex Scott";"Bournemouth";29;2195;2;1;2.98;1.76;0.12;0.07
144;"Ladislav Krejcí";"Wolverhampton Wanderers";23;1961;2;1;1.4;0.8;0.06;0.04
145;"Nicolò Savona";"Nottingham Forest";14;1036;2;0;1.24;0.59;0.11;0.05
146;"Mateus Mané";"Wolverhampton Wanderers";19;1226;2;1;1.31;1.18;0.1;0.09
147;"Maxim De Cuyper";"Brighton";23;1145;2;0;1.59;2.47;0.12;0.19
148;"Dan Ballard";"Sunderland";25;1939;2;0;3.61;1.53;0.17;0.07
